Country,Region-Geo,Continent,Region,Year,Leap Year,ChildrenPerWoman,CO2Emissions,DemocracyScore,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Slovak Republic,Europe - Eastern,Europe,Europe & Central Asia,1988,[1988],2.131,,-7,12284.15683,5.34,17.99,17,1.738871607,,71.16,,,,,,,,,1.096512642,0.530027872,5222922,106.519,0,,,634.7799691,,,51.096,28599163479,,-1.868429659,,55.565,1.366777222,
Slovenia,Europe - Southern,Europe,Europe & Central Asia,1988,[1988],1.577,,-5,18334.5781,,,10,,,72.9,,,,,2.023600101,1.51633,1.842165,1.148509,,0.272022154,1909475,94.267,,,,,19.99051,,31.82,,,,22.68267,50.06,0.592150479,
Solomon Islands,Oceania,Oceania,East Asia & Pacific,1988,[1988],6.056,0.538502962,7,1797.146254,,,32.5,,,56.221,,,,,,,,,,2.779515024,292787,10.132,,,,,,,,,,-27.48068006,,13.1794,4.685355933,157.6666667
Somalia,Africa - Eastern,Africa,Sub-Saharan Africa,1988,[1988],7.288,0.155019167,-7,1089.285829,,,109.8,69.84737009,,45.944,,,,,,,,,,1.206093207,6504572,10.201,,,,,,,,,,-17.36227253,,29.0216,2.308572975,1008.333333
South Africa,Africa - Southern,Africa,Sub-Saharan Africa,1988,[1988],3.923,9.745863561,4,7965.50168,,,49.5,15.18320991,,61.39,,,,,,,,,0.451204753,2.386547253,35196881,28.825,,,,532.7518281,,,,109e9,,6.488623127,,50.971,3.437745683,343024
South Sudan,Africa - Eastern,Africa,Sub-Saharan Africa,1988,[1988],6.813,,,1502.188477,,,154.8,,,42.154,,,,,,,,,,0.674673122,5175686,,,,,,,,,,,,,11.9032,6.614134832,
Spain,Europe - Southern,Europe,Europe & Central Asia,1988,[1988],1.431,5.136520329,10,16553.14424,,,10.1,5.936126204,,76.91,,,11.5,,,0.8725086,1.312173,0.4415629,1.181513152,0.21986476,38745231,76.573,,103.752,,693.4489778,5.74571,,15.304,405e9,,-1.187090588,17.95902,74.8958,0.52421631,199015.6667
Sri Lanka,Asia - Southern,Asia,South Asia,1988,[1988],2.617,0.199829284,5,1898.766592,,,19.3,10.11702548,,69.235,,,,,,,,,,1.370881593,16899425,257.574,,102.098,,33.05102638,,,,9023468716,,-10.76033192,,17.513,0.478399189,3377
Sudan,Africa - Northern,Africa,Sub-Saharan Africa,1988,[1988],6.275,0.24090209,7,1494.415186,,,81.9,78.86283289,,55.197,,,,,,,,,,2.245172373,20121591,10.095,,,,21.83405114,,,,6858161939,,-3.896758869,,26.3408,7.141245118,4847.333333
Suriname,America - South,Central and South America,America,1988,[1988],2.936,4.769587106,-1,5930.970631,,,46.1,9.254774277,,67.214,,,,,,,,,,1.699036104,393605,2.403,,109.341,,,,,,758798086.2,,4.927211646,,59.0284,2.547643588,1877.333333
Swaziland,Africa - Southern,Africa,Sub-Saharan Africa,1988,[1988],6.051,0.544368757,-10,3712.853493,,,55.7,24.1326108,,58.94,,,,,,,,,,4.329347147,801540,46.161,,,,,,,,833849373.2,,-3.400489741,,22.4664,5.317009497,436.3333333
Sweden,Europe - Northern,Europe,Europe & Central Asia,1988,[1988],1.967,6.792162125,10,24027.93629,,,6.1,6.345028697,,77.08,,,0.300000012,,2.8,1.351748,1.852136,0.8406445,1.923476931,0.45959837,8456561,18.794,,101.207,,4559.617911,13.84829,,11.4,194e9,,2.05329176,8.922394,83.1,0.45959837,57438.33333
Switzerland,Europe - Western,Europe,Europe & Central Asia,1988,[1988],1.546,6.194940715,10,30971.58824,,,7,2.790238447,,77.43,,,,,3,1.228241,1.513223,0.940189,1.891627547,0.734943056,6571061,159.167,,95.752,,1889.926696,18.74842,,6.278,208e9,,2.069561374,13.16084,69.9944,3.039769275,40707.33333
Taiwan,Asia - Eastern,Asia,East Asia & Pacific,1988,[1988],1.855,5.67033774,-1,12588.4342,,,6,,,73.18,,,,,,,,,1.162144573,,19976000,,,,,691.5007807,,,16,,,,,,,113270.6667
Tajikistan,Asia - Central,Asia,Europe & Central Asia,1988,[1988],5.347,,-6,3637.074122,,,83.7,-2.559631563,,63.386,,,,,2.697099924,,,,,3.139910486,5023022,35.101,,,,,,,,2431182443,,-11.08624248,,32.2888,2.16784113,
Thailand,Asia - South Eastern,Asia,East Asia & Pacific,1988,[1988],2.256,1.209981883,3,3330.332705,2.68,35.33,34.2,5.918397782,,69.835,,,,,0.209700003,,,,0.261258129,1.826096187,55370526,107.911,40.96,,,116.5187483,,,,63630922388,,-1.389533594,,28.8924,2.750319111,66997.33333
Timor-Leste,Asia - South Eastern,Asia,East Asia & Pacific,1988,[1988],5.256,,,2104.950362,,,139.2,,,46.749,,,,,,,,,,2.098280931,706986,47.532,,,,,,,,,,,,19.9304,4.411796119,
Togo,Africa - Western,Africa,Sub-Saharan Africa,1988,[1988],6.569,0.227850461,-7,1212.077333,,,91.2,2.585776455,,55.592,,,,,,,,,,3.01991577,3475964,61.213,,56.187,,35.19023784,,,,1004339554,,-8.936239645,,27.7782,4.49008785,792
Tokelau,Oceania,Oceania,East Asia & Pacific,1988,[1988],,,,,,,,,,,,,,,,,,,,,1669,139.083,,,,,,,,,,,,,,
Tonga,Oceania,Oceania,East Asia & Pacific,1988,[1988],4.763,0.73585849,,3988.058263,,,20.6,9.069180518,,69.313,,,,,,,,,,0.298308748,94674,145.652,,,,,,,,144532028.7,,-44.01262608,,22.5296,0.686106086,69.66666667
Trinidad and Tobago,America - Central,Central and South America,America,1988,[1988],2.7,13.20791682,9,7059.562264,1.86,31.14,30.2,4.154566193,,67.817,,,,,,8.244746,13.68577,2.968675,,0.591645077,1201224,234.157,8.6,100.275,,713.5844532,15.7373,,,5930636564,,4.665424765,11.4806,8.9592,-1.753617121,15865.66667
Tunisia,Africa - Northern,Africa,Middle East & North Africa,1988,[1988],3.893,1.583193228,-5,3732.502282,,,44.4,7.704194366,,67.576,,,,,,,,,,2.224560895,7872065,48.115,,81.051,,117.4359121,,,,12333775383,,0.360252177,,56.3032,3.69419418,12463
Turkey,Asia - Western,Asia,Europe & Central Asia,1988,[1988],3.3,2.415875278,7,5502.700219,,,61,69.0181311,,63.27,,,4.199999809,,0.8,,,,0.42583472,1.793671649,52278499,66.719,,78.04,,141.0765431,,,,17e10,,1.101106988,,56.501,4.21383079,126298.3333
Turkmenistan,Asia - Central,Asia,Europe & Central Asia,1988,[1988],4.513,,-6,5504.785006,5.12,21.51,74.8,-4.964539007,,62.767,,,,,3.550199986,7.088835,10.7855,3.567336,1.005723339,2.510787226,3479088,7.128,50.22,,,,10.75673,,,3961385381,,,17.85265,45.4354,2.114964587,
Turks and Caicos Islands,America - Central,Central and South America,America,1988,[1988],,,,15920.70754,,,,,,,,,,,,,,,,3.508457302,10587,24.621,,,,,,,,,,,,70.7814,6.056562712,
Tuvalu,Oceania,Oceania,East Asia & Pacific,1988,[1988],,,,2889.195177,,,45.9,,,,,,,,,,,,,0.767931498,8889,341.885,,,,,,,,,,,,38.097,4.190948304,
Uganda,Africa - Eastern,Africa,Sub-Saharan Africa,1988,[1988],7.1,0.052500556,-7,636.7938514,,,108.7,189.9751144,,48.364,,,,,,,,,,3.652911147,16482365,68.381,,,,,,,,2907836429,,-10.20469567,,10.3064,7.457997435,865.3333333
Ukraine,Europe - Eastern,Europe,Europe & Central Asia,1988,[1988],1.994,,-6,8227.178547,4.38,19.51,17.4,1.71812832,,70.93,,,,,4.200300217,5.263985,7.462881,3.256526,1.177714493,0.443520092,51455595,85.234,14.82,,,,12.22478,,56.876,73963539144,,,17.475460000000002,65.9266,1.075302957,
United Arab Emirates,Asia - Western,Asia,Middle East & North Africa,1988,[1988],4.724,30.0159027,-8,27050.84734,,,16.2,2.381045749,,70.854,,,,,,,,,7.082668997,6.042363436,1611257,19.273,,105.218,,3550.827444,,,,49795752494,,,,79.3522,5.852756505,48363.33333
United Kingdom,Europe - Western,Europe,Europe & Central Asia,1988,[1988],1.827,10.0244547,10,22673.27583,,,8.9,6.279943786,,75.41,,,3.799999952,,1.5,1.014247,1.405302,0.6195052,1.405431903,0.222063894,56902081,234.261,,101.461,,1616.117327,8.01525,,32.5,108e10,,-3.169212765,8.62547,78.24,0.158178375,570412.3333
United States of America,America - North,North America,America,1988,[1988],1.922,19.68028544,10,32860.51969,,,10,3.482365374,,75.02,,,0.400000006,,1.8,8.637181,13.25292,4.10592,3.207721803,0.907998983,248381577,25.795,,,,3641.663673,13.83199,,51.564,67e11,,-2.175072601,18.99423,74.9776,1.123228038,4888220.333
Uruguay,America - South,Central and South America,America,1988,[1988],2.524,1.566734003,9,7407.361071,,,21.4,74.63638844,,72.202,,,,,,3.524472,5.460579,1.676409,,0.628107999,3068166,17.531,,,,558.5814063,7.513501,,,16108894905,,4.321963071,11.91711,88.2614,1.032043451,4807
Uzbekistan,Asia - Central,Asia,Europe & Central Asia,1988,[1988],4.346,,-6,2112.713866,5.56,20.4,62.5,-1.307079735,,67.134,,,,,3.363500118,5.075684,7.721092,2.54393,0.700315589,2.407408975,19561181,43.722,,,,,7.899202,,,13408011466,,,16.9309,40.392,2.136582327,
Vanuatu,Oceania,Oceania,East Asia & Pacific,1988,[1988],5.022,0.473566385,,3191.444424,,,31.4,9.811527941,,62.194,,,,,,,,,,2.351495116,139368,11.434,,,,,,,,171609336.3,,-24.60030944,,17.9178,4.601216095,66
Venezuela,America - South,Central and South America,America,1988,[1988],3.597,6.203918414,9,10350.52016,,,26.4,21.76789588,,70.596,,,,,1.599699974,9.362282,17.0658,1.595807,1.012087006,2.454601687,18711830,20.516,,105.767,,525.326859,6.323133,,,97863352352,,-6.661671432,27.59781,83.3404,3.022322168,116086.6667
Vietnam,Asia - Southern,Asia,East Asia & Pacific,1988,[1988],3.806,0.360321111,-7,851.4239524,,,38.8,411.0402619,,69.983,,,,,,,,,,2.420666458,64333357,193.957,,,,30.48296526,,,,13308980224,,-11.0598906,,19.9774,3.117876435,23180.66667
Wallis et Futuna,Oceania,Oceania,East Asia & Pacific,1988,[1988],,,,2430.660966,,,,,,,,,,,,,,,,,13869,69.345,,,,,,,,,,,,,,
West Bank and Gaza Strip,Asia - Western,Asia,Middle East & North Africa,1988,[1988],6.509,,,5276.330831,,,37.9,,,67.313,,,,,,,,,,,1934197,321.295,,,,,,,,,,,,66.7992,,
Western Sahara,Africa - Northern,Africa,Middle East & North Africa,1988,[1988],4.488,0.87433715,,,,,,,,56.426,,,,,,,,,,,205489,0.773,,,,,,,,,,,,,,179.6666667
Yemen,Asia - Western,Asia,Middle East & North Africa,1988,[1988],,0.38313853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406.333333
Zambia,Africa - Eastern,Africa,Sub-Saharan Africa,1988,[1988],6.606,0.422825376,-9,1249.787665,,,111.9,34.49030307,,45.59,,,,,,,,,,2.96688806,7431752,9.875,,87.177,,93.05551442,,,,3073612018,,7.139473962,,39.5062,2.841416894,3142.333333
Zimbabwe,Africa - Eastern,Africa,Sub-Saharan Africa,1988,[1988],5.569,1.634179313,-6,744.4589752,,,48.8,7.785115868,,60.697,,,,,,,,,,3.394983871,9852244,25.213,,91.242,,142.598348,,,,4994981979,,3.380343045,,27.5584,6.022979674,16100.33333
Afghanistan,Asia - Southern,Asia,South Asia,1992,[1992],7.725,0.092187586,0,1948.024185,,,111.3,,,50.247,,,,,,,,,,3.391206687,15472076,23.727,,,4424.59,,,,,,,,,18.6306,4.614146966,1426.333333
Albania,Europe - Southern,Europe,Europe & Central Asia,1992,[1992],2.867,0.730643533,5,7492.313703,,,34.5,249.6834367,,71.779,,,,,1.650099993,,,,,-0.753570062,3266983,113.642,,,12750.76,175.2909336,,,16.3,2101603929,,-77.02181036,,37.4212,0.582369253,2387
Algeria,Africa - Northern,Africa,Middle East & North Africa,1992,[1992],4.238,3.097162036,-7,15069.64994,,,40,21.92611451,,67.265,,,,,,,,,0.343136179,2.390765739,26557969,11.151,,84.259,439.6633,270.7498833,,,26,46635095028,,1.450104328,,53.6498,3.859850678,82254.33333
American Samoa,Oceania,Oceania,East Asia & Pacific,1992,[1992],,,,20139.43898,,,,,,,,,,,,,,,,2.541697252,49648,249.487,,,,,,,51.7,,,,,82.6808,3.595111591,
Andorra,Europe - Southern,Europe,Europe & Central Asia,1992,[1992],,,,81123.05137,,,6.1,6.710771356,,,,,,,,,,,,4.915722306,57767,123.434,,,,,,,,877738325.5,,,,94.2916,4.693044938,
Angola,Africa - Central,Africa,Sub-Saharan Africa,1992,[1992],7.116,0.401560436,0,7883.537055,,,125.3,252.7404965,,41.329,,,,,,,,,,3.226989862,11002910,8.826,,,13194.83,50.03196662,,,,7785298083,,-1.938722227,,39.8816,6.71943097,4418.333333
Anguilla,America - Central,Central and South America,America,1992,[1992],,,,36593.47949,,,,,,,,,,,,,,,,,8985,98.736,,,,,,,45.9,,,,,,,
Antigua and Barbuda,America - Central,Central and South America,America,1992,[1992],2.096,4.597557025,,35032.06084,,,18.5,2.390414899,,71.783,,,,,,,,,,1.656221682,63802,144.348,,97.571,823.371,,,,76.5,605123888.1,,2.809044889,,34.84,0.818750908,293.3333333
Argentina,America - South,Central and South America,America,1992,[1992],2.918,3.620639536,7,27925.25613,1.74,33.93,22.8,11.92076024,0.002992874,72.024,,,,,2.684000015,4.81883,8.069508,1.70179,0.58494295,1.340016649,33540023,12.063,4,,24302.25,393.5753762,6.150061,,65.5,23e10,,-1.534605649,10.30673,87.652,1.721796847,121436.3333
Armenia,Asia - Western,Asia,Europe & Central Asia,1992,[1992],2.399,1.17441656,7,4328.813387,,,38.6,568.80733,,67.979,,,,,3.596999884,,,,,-1.784335772,3449940,115.77,,,2251.3887,717.3471575,,,94.1,1448894008,,-21.43524826,,66.8754,-2.191428816,4051.666667
Aruba,America - Central,Central and South America,America,1992,[1992],2.187,25.23699342,,75361.64883,,,,5.703892153,,73.544,,,,,,,,,,5.48404132,68286,379.367,,,,,,,52.2,1241360073,,-20.6876345,,49.6958,4.858984121,1723.333333
Australia,Oceania,Oceania,East Asia & Pacific,1992,[1992],1.888,16.79626843,10,70274.30048,,,6.7,1.355950853,1.772249769,77.54,,,3.599999905,,2.4,1.681508,2.033657,1.331798,1.762061361,1.218627409,17529469,2.264,,,28333.96,2249.463962,17.16395,,22,299e9,,0.121009269,11.29172,85.6824,1.378321348,294429.6667
Austria,Europe - Western,Europe,Europe & Central Asia,1992,[1992],1.505,7.782808184,10,81126.05604,,,7.2,3.479093093,0.637697351,76.04,,,,,2.4,1.394669,1.624585,1.145798,1.456110657,1.100552287,7778255,92.755,,94.802,9885.3,1614.068121,15.97017,,21.994,156e9,,-1.08729519,14.34538,65.779,1.111194547,60536.66667
Azerbaijan,Asia - Western,Asia,Europe & Central Asia,1992,[1992],2.883,7.746071397,1,6911.085939,,,73.8,1065.329225,,64.245,,,,,3.881299973,50.55832,96.61368,7.152122,1.073741677,1.515076998,7445925,85.981,,99.14,4652.3771,,2.388897,,33.8,6881920209,,31.60722807,14.97465,53.1318,0.935937576,57676.66667
Bahamas,America - Central,Central and South America,America,1992,[1992],2.621,6.746663355,,38865.13862,,,17.8,3.905565916,,71.01,,,5.5,,,,,,,1.867104747,265761,19.15,,101.51,75.451,,,15.43261499,77.4,4713611932,,-0.96751367,,80.2872,2.14724248,1793
Bahrain,Asia - Western,Asia,Middle East & North Africa,1992,[1992],3.466,20.37601469,-10,38071.15834,,,18.7,-3.532648806,,72.794,,,,,,,,,,2.535451651,519696,748.841,,103.568,219.9702,3757.113945,,5.39072996,22.5,5514542261,,-12.36005374,,88.2392,2.5916783,10589.33333
Bangladesh,Asia - Southern,Asia,South Asia,1992,[1992],4.197,0.161003196,6,1675.620329,4.3,22.21,92,2.976369766,,61.066,,,,,,,,,0.016538814,2.25410479,110225555,765.466,92.99,,10232.6644,17.23195879,,,,32010406325,,-4.760653216,,20.5638,4.10146489,17746.66667
Barbados,America - Central,Central and South America,America,1992,[1992],1.727,3.74900435,,24526.90663,,,14.7,-1.471559103,,71.542,,,13.39999962,,,,,,,0.301062382,261136,607.293,,,290.835,,,,59,2027982064,,9.002207547,,33.8242,1.948296621,979
Belarus,Europe - Eastern,Europe,Europe & Central Asia,1992,[1992],1.722,8.494393525,7,12028.81215,,,13.6,1074.141207,,70.16,,,,,3.638200045,8.558018,12.75942,4.521322,1.990876517,0.215580668,10298479,49.607,,,5633.72,426.609436,18.50022,20.44348296,46.256,12829442266,,1.449432125,20.81534,66.759,0.799977931,87479.33333
Belgium,Europe - Western,Europe,Europe & Central Asia,1992,[1992],1.599,11.43122472,10,51151.14138,,,7.6,3.424524548,0.0996358,76.46,,,4,,3.4,1.619439,2.163797,1.061526,,0.405713496,10004469,327.715,,100.966,1830.77,2015.668527,11.9307,,11.73,193e9,,2.51670938,15.74826,96.537,0.488617632,114363.3333
Belize,America - Central,Central and South America,America,1992,[1992],4.363,1.762191658,,11561.37819,,,31.2,3.99349621,,70.696,,,,,,,,,,2.544666406,201832,8.788,,,94420.2732,,,19.93925706,107.1,579737611.1,,-3.200357264,,47.4726,2.552671504,355.6666667
Benin,Africa - Western,Africa,Sub-Saharan Africa,1992,[1992],6.603,0.177291949,6,2382.415361,,,103,3.361901295,,54.423,27.24525033,39.87661252,,,0.055100001,,,,,3.470789543,5108335,45.358,,,4734.251,16.26253119,,,140,1537774239,,-13.7239047,,35.3942,4.76350039,905.6666667
Bermuda,America - North,North America,America,1992,[1992],,6.729163567,,94184.50149,,,,2.813883984,,,,,,,,,,,,0,60483,1141.189,,,,,,,,2552744659,,,,100,0,407
Bhutan,Asia - Southern,Asia,South Asia,1992,[1992],5.216,0.395956727,-10,3808.3589,,,84.3,9.25299591,,54.071,,,,,,,,,,-1.704237679,546356,11.625,,,177580.38,,,5.313133285,,278212050.4,,-25.16971431,,18.0476,3.002660274,216.3333333
Bolivia,America - South,Central and South America,America,1992,[1992],4.81,0.953184189,9,5923.399389,,,79.6,13.19920412,,59.832,79.99177478,93.89611262,,,,,,,,2.32580801,6974168,6.348,,,89121.4919,116.3632497,,,82.4,6207082181,,-9.019332904,,57.1062,3.673761126,6647.666667
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1992,[1992],1.594,1.001685925,0,5093.56289,,,14.3,,,65.403,,,,,,,,,,-5.592184977,3931372,76.789,,,9457.69,578.1097943,,,,,,,,39.9566,-4.702780753,3938
Botswana,America - South,Africa,Sub-Saharan Africa,1992,[1992],4.394,2.250173615,7,15908.22329,,,39,6.639280701,,61.572,,,,,,,,,,2.863556289,1464924,2.518,,107.413,8451.894,72.26012838,,27.84554007,,3570918962,,6.607871603,,44.7522,6.064018334,3296.333333
Brazil,America - South,Central and South America,America,1992,[1992],2.643,1.427627544,8,13900.56604,0.94,44.98,47.5,968.1842329,0.012946262,67.267,,,,,,18.75016,34.82413,3.133533,0.440088394,1.587895013,154582103,18.156,30.29,,53313.52,332.5790144,4.150359,9.73379589,82.4,507e9,,2.483155049,18.9033,75.3972,2.570997333,220685.6667
British Virgin Islands,America - Central,Central and South America,America,1992,[1992],,2.955116765,,24150.72318,,,26.4,,,,,,,,,,,,,,17371,115.04,,,,,,,53.5,,,,,,,51.33333333
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1992,[1992],3.321,21.76960501,,98348.81087,,,9,1.7268761,,74.067,,,,,,,,,,2.827133405,266794,46.278,,102.19,31261.37,1311.886402,,,36.8,5196639649,,9.963316214,,66.9574,3.670316561,5808
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1992,[1992],1.597,6.294287261,8,12605.24688,,,19.1,59.5786492,,71.19,,,,,3.166100025,4.426821,7.146302,1.771705,0.689377438,-1.073853191,8651284,78.001,0,99.503,2461.96,1154.910517,11.03157,16.90338645,69.666,12364513548,,-5.826693227,12.91235,66.939,-0.653184442,54453.66667
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1992,[1992],6.95,0.064060039,-5,1863.505546,,,102.2,0.227059614,,49.374,,,,,,,,,,2.727545801,9844931,35.93,,,1328.81,,,,,1700671023,,-10.68105564,,14.3414,4.579841578,630.6666667
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1992,[1992],7.465,0.054669429,-3,1263.399756,3.41,26.59,98.5,5.401760708,0,46.628,,,,,,,,,,1.921333085,5835071,209.638,95.18,79.813,2107.5138,,,15.12278396,,1080943479,,-20.72777036,,6.647,4.790444885,319
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1992,[1992],5.24,0.046705674,1,1660.387961,,,85.6,,,55.993,,,,,0.106700003,,,,,3.363167615,10205755,56.374,,,45834.085,,,,,,,,,16.252,5.559144011,476.6666667
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1992,[1992],6.264,0.294585541,-4,3586.326556,,,86.7,-1.277671029,,53.631,,,,,0.083700001,,,,,2.77521597,12882506,27.096,,87.121,22020.98,27.2765329,,9.753700886,,8195593373,,2.231452325,,40.8234,4.214111016,3795
Canada,America - North,North America,America,1992,[1992],1.711,16.47303828,10,52685.76852,,,6.4,1.31836544,0.911695417,77.95,,,1.5,,2.1,2.023427,2.721024,1.328598,2.704944754,1.227418982,28386162,2.847,,99.232,102239.33,4636.800983,16.15844,14.64866948,,537e9,,-0.372458885,11.30915,77.0192,1.511647862,467606.3333
Cayman Islands,America - Central,Central and South America,America,1992,[1992],,10.85568327,,96987.6577,,,,,,,,,,,,,,,,4.805375827,28710,108.75,,,,,,,67.2,,,,,100,4.805375827,311.6666667
Central African Republic,America - Central,Central and South America,Sub-Saharan Africa,1992,[1992],5.691,,-6,1495.81105,,,,,,45.137,,,,,,,,,,,3084958,,,,45463.46,,,,,,,-12.60910564,,,,
Chad,Africa - Central,Africa,Sub-Saharan Africa,1992,[1992],7.376,0.01377614,-4,2116.1286,,,111.7,-12.90655383,,46.385,,,,,,,,,,3.020978329,6387856,4.975,,,6609.14,,,,,1296130541,,-13.72306725,,21.063,3.620980129,88
Channel Islands,Europe - Northern,Europe,Europe & Central Asia,1992,[1992],1.457,,,,,,,,,75.94,,,,,,,,,,0.265973637,141179,723.995,,,,,,,,,,,,31.044,-0.292956217,
Chile,America - South,Central and South America,America,1992,[1992],2.559,2.435352996,8,15192.25193,,,13.7,12.89319603,0.036548938,74.56,94.2911368,98.42796705,3,,,3.056724,5.506723,0.7378796,0.537417718,1.837596835,13678373,18.078,9.25,99.971,67464.39,364.6867316,5.903427,,63.4,49042927669,,1.642900895,11.91494,83.7114,2.100990021,33311.66667
China,Asia - Eastern,Asia,East Asia & Pacific,1992,[1992],2.171,2.293794638,-7,4429.934974,,,41.3,8.237468991,,69.805,,,,,1.549999952,,,,0.112634092,1.225536228,1175230312,122.459,82.19,87.423,2391.3771,54.94692567,,3.251806043,17.7,554e9,,1.182508302,,28.2496,4.477170831,2695737
Colombia,America - South,Central and South America,America,1992,[1992],3.012,1.798506912,9,10889.29723,,,27.3,22.22595459,,68.632,,,,,,90.92706,171.337,13.64645,0.308487741,1.894346824,34497319,30.29,14.02,110.408,58863.05,350.3860631,5.762856,,91.8,82923700136,,1.951362373,18.02903,69.172,2.54411415,62043.66667
Comoros,Africa - Eastern,Africa,Sub-Saharan Africa,1992,[1992],5.355,0.167567979,4,2493.81474,,,82.4,-6.764690274,,56.065,,,,,0.127499998,,,,,2.409346456,459515,246.918,,,2152.85,,,,,185770336.4,,-23.80992932,,28.0418,2.717933559,77
Cook Islands,Oceania,Oceania,East Asia & Pacific,1992,[1992],,1.228432632,,,,,20.5,,,,,,,,,,,,,,,75.886,,,,,,,,,,,,,,22
Costa Rica,America - Central,Central and South America,America,1992,[1992],3.002,1.175662282,10,12320.83263,,,13.7,20.48121129,0.001113325,76.107,,,0.5,,,5.65097,9.718901,1.593174,,2.429320854,3224849,63.109,15.13,100.911,34795,523.8531383,6.501514,,,10723486281,,-4.62727382,17.40056,52.7254,4.385150529,3791.333333
Cote d'Ivoire,Africa - Western,Africa,Sub-Saharan Africa,1992,[1992],6.114,0.345519064,-7,3296.147582,,,104.5,-0.023837136,,51.617,,,,,,,,,,3.311790926,13381799,41.499,,,5934.042,43.77345216,,,,8280648342,,3.79390852,,40.091,4.246529404,4623.666667
Croatia,Europe - Southern,Europe,Europe & Central Asia,1992,[1992],1.571,3.583416172,-3,16895.58975,,,9.9,594.8470038,,72.785,,,,,1.975200057,4.751035,7.445004,2.273986,,-0.890874433,4588173,81.152,,,22989.13,900.9160944,17.41601,19.73481732,22.8,17520054878,,5.468141242,15.968,54.3802,-0.57666424,16441.33333
Cuba,America - Central,Central and South America,America,1992,[1992],1.68,2.921140698,-7,11185.68793,,,9.2,3.745720942,,74.809,,,,,,5.737687,8.545142,2.938848,,0.682536551,10727088,96.762,,107.254,3542.611,279.9092981,18.50712,,67.2,27868362412,,-1.31033372,17.10344,73.7292,0.930506813,31335.33333
Cyprus,Asia - Western,Asia,Europe & Central Asia,1992,[1992],2.337,6.589593113,10,36728.99689,,,9.4,6.041382146,0.05006043,76.865,94.3624702,99.62139416,,,,,,,,2.212104122,800707,86.554,,,1115.934,830.0835731,,,23.6,6826714413,,-11.18308679,,67.2808,2.587953724,5276.333333
Czech Republic,Europe - Eastern,Europe,Europe & Central Asia,1992,[1992],1.677,,8,28594.04245,,,,,,72.4,,,,,,1.863199,2.154109,1.613677,0.657380473,,10313662,,,,,1002.826733,11.57264,,45.752,,,0.897496457,14.29587,,,
Denmark,Europe - Northern,Europe,Europe & Central Asia,1992,[1992],1.764,10.50153002,10,51912.37335,,,6.5,1.677737262,0.386964079,75.33,,,2.400000095,,2.6,1.2631270000000001,1.321851,1.196,1.737032196,0.330671402,5172040,120.018,,100.938,1160.74,1974.484944,9.790586,,9.5,128e9,,6.23994176,10.02617,84.8974,0.362715208,54314.33333
Djibouti,Africa - Eastern,Africa,Middle East & North Africa,1992,[1992],5.879,0.697018075,-7,4754.312384,,,90.5,3.399971163,,56.943,,,,,,,,,,2.176132019,594437,25.622,,71.431,506.45,,,,,631683815.3,,-32.25244524,,75.91,2.347534263,414.3333333
Dominica,America - Central,Central and South America,America,1992,[1992],,0.826733557,,14302.0507,,,14.4,4.142712521,,,,,,,,,,,,0.169247734,70962,94.49,,101.414,,,,,88,290430832,,-13.3211036,,67.6812,0.143542275,58.66666667
Dominican Republic,America - Central,Central and South America,America,1992,[1992],3.33,,6,6088.428429,1.61,41.95,,,,68.738,,,,,,,,,,,7485619,,,,2770.1426,404.9057804,,,,,,-6.923623157,,,,
Ecuador,America - South,Central and South America,America,1992,[1992],3.576,2.079261762,9,14207.40519,,,39.9,4.137639799,0.005118035,69.822,,,,,,,,,0.4261893,2.184783768,10725281,37.824,,,39524.24,198.7631343,,25.20223488,79.4,14235121581,,4.845300083,,56.1604,3.142338389,22300.66667
Egypt,Africa - Northern,Africa,Middle East & North Africa,1992,[1992],4.018,1.37713524,-6,7589.51039,,,57.4,19.73341854,,65.42,,,,,,,,,0.384920629,1.798980049,59004372,58.919,,84.216,998.85,242.7619806,,18.48023005,,69224523386,,-2.516175413,,43.2124,1.492132114,81257
